Site,Date,doy,Abs,SRP_ugL
CFL1,6/1/2021,152,0.011,4.15
CFL1,6/15/2021,166,0.002,2.01
CFL1,6/29/2021,183,0.003,2.25
CFL1,7/13/2021,197,0.002,2.01
CFL1,7/27/2021,208,0.002,2.01
CFL1,8/10/2021,223,0.003,2.25
CFL1,8/25/2021,237,0.002,2.01
CFL2,6/15/2021,166,0.002,2.01
CFL2,6/29/2021,183,0.001,1.78
CFL2,7/13/2021,197,0.002,2.01
CFL2,7/27/2021,208,0.002,2.01
CFL2,8/10/2021,223,0.002,2.01
G1,5/26/2021,150,0.011,4.15
G1,6/8/2021,159,0.002,2.01
G1,6/20/2021,173,0.004,2.49
G1,7/6/2021,187,0.01,3.92
G1,7/20/2021,203,0.002,2.01
G1,8/3/2021,215,0.008,3.44
G1,8/18/2021,229,0.002,2.01
G1,8/31/2021,243,0.003,2.25
G1,9/13/2021,257,0.006,2.97
G1,9/27/2021,270,0.008,3.44
G2,5/26/2021,150,0.016,5.34
G2,6/8/2021,159,0.002,2.01
G2,6/20/2021,173,0.003,2.25
G2,7/6/2021,187,0.009,3.68
G2,7/20/2021,203,0.002,2.01
G2,8/3/2021,215,0.008,3.44
G2,8/18/2021,229,0.003,2.25
G2,8/31/2021,243,0.002,2.01
G2,9/13/2021,257,0.007,3.2
G2,9/27/2021,270,0.009,3.68
PB0,6/1/2021,152,0.003,2.25
PB0,6/15/2021,166,0.007,3.2
PB0,6/29/2021,183,0.02,6.3
PB0,7/13/2021,197,0.009,3.68
PB0,7/27/2021,208,0.007,3.2
PB0,8/10/2021,223,0.028,8.2
PB0,8/25/2021,237,0.005,2.73
PB1,6/1/2021,152,0.003,2.25
PB1,6/15/2021,166,0.003,2.25
PB1,6/29/2021,183,0.012,4.39
PB1,7/13/2021,197,0.007,3.2
PB1,7/27/2021,208,0.007,3.2
PB1,8/10/2021,223,0.01,3.92
PB1,8/25/2021,237,0.002,2.01
PB2,6/1/2021,152,0.011,4.15
PB2,6/15/2021,166,0.002,2.01
PB2,6/29/2021,183,0.01,3.92
PB2,7/13/2021,197,0.005,2.73
PB2,7/27/2021,208,0.005,2.73
PB2,8/10/2021,223,0.006,2.97
PB2,8/25/2021,237,0.002,2.01
S0,5/26/2021,146,0.017,5.58
S0,6/8/2021,159,0.005,2.73
S0,6/20/2021,173,0.014,4.87
S0,7/6/2021,187,0.038,10.58
S0,7/20/2021,201,0.018,5.82
S0,8/3/2021,215,0.015,5.11
S0,8/18/2021,229,0.019,6.06
S0,8/31/2021,243,0.022,6.77
S0,9/13/2021,257,0.035,9.86
S0,9/27/2021,270,0.018,5.82
Y0,5/26/2021,146,0.024,7.25
Y0,6/8/2021,159,0.035,9.86
Y0,6/20/2021,173,0.05,13.43
Y0,7/6/2021,187,0.038,10.58
Y0,7/20/2021,203,0.026,7.72
Y0,8/3/2021,215,0.023,7.01
Y0,8/18/2021,229,0.012,4.39
Y0,8/31/2021,243,0.019,6.06
Y0,9/13/2021,257,0.016,5.34
Y0,9/27/2021,270,0.009,3.68
Y1,5/26/2021,146,0.013,4.63
Y1,6/8/2021,159,0.003,2.25
Y1,6/20/2021,173,0.043,11.76
Y1,7/6/2021,187,0.019,6.06
Y1,7/20/2021,203,0.004,2.49
Y1,8/3/2021,215,0.01,3.92
Y1,8/18/2021,229,0.002,2.01
Y1,8/31/2021,243,0.004,2.49
Y1,9/13/2021,257,0.008,3.44
Y1,9/27/2021,270,0.007,3.2
Y2,5/26/2021,146,0.015,5.11
Y2,6/8/2021,159,0.002,2.01
Y2,6/20/2021,173,0.039,10.81
Y2,7/6/2021,187,0.012,4.39
Y2,7/20/2021,203,0.001,1.78
Y2,8/3/2021,215,0.012,4.39
Y2,8/18/2021,229,0.002,2.01
Y2,8/31/2021,243,0.004,2.49
