"","doy","site","group","chl","pc"
"1",146,"S0","yahara",961.49,214.3
"2",146,"Y0","yahara",789.14,207.9
"3",146,"Y1","yahara",8830.4,1139.6
"4",146,"Y2","yahara",828.24,259.73
"5",150,"G1","yahara",461.7,146.87
"6",150,"G2","yahara",387.46,137.66
"7",152,"CFL1","pheasant",585.46,908.305
"8",152,"PB0","pheasant",885.83,189.105
"9",152,"PB1","pheasant",645.43,218.695
"10",152,"PB2","pheasant",821.995,219.275
"11",159,"G1","yahara",642.115,1685.3
"12",159,"G2","yahara",501.21,1336.15
"13",159,"S0","yahara",997.18,182.405
"14",159,"Y0","yahara",798.23,249.825
"15",159,"Y1","yahara",10273,1478.4
"16",159,"Y2","yahara",5448.95,1054.46
"17",166,"CFL1","pheasant",658.275,1371.6
"18",166,"CFL2","pheasant",704.95,1806.25
"19",166,"PB0","pheasant",740.645,188.045
"20",166,"PB1","pheasant",1609.7,647.525
"21",166,"PB2","pheasant",992.855,455.945
"22",173,"G1","yahara",534.065,253.33
"23",173,"G2","yahara",467.985,248.35
"24",173,"S0","yahara",1358.5,304.775
"25",173,"Y0","yahara",950.985,293.09
"26",173,"Y1","yahara",13729.5,3916.95
"27",173,"Y2","yahara",1507.4,519.795
"28",183,"CFL1","pheasant",707.79,1434.4
"29",183,"CFL2","pheasant",852.02,2385.4
"30",183,"PB0","pheasant",1019.05,311.17
"31",183,"PB1","pheasant",1512.65,771.915
"32",183,"PB2","pheasant",1748.7,4642.6
"33",187,"G1","yahara",1488.8,1055.17
"34",187,"G2","yahara",1918.35,1699.5
"35",187,"S0","yahara",1846.3,327.525
"36",187,"Y0","yahara",954.745,319.35
"37",187,"Y1","yahara",10705,3294.6
"38",187,"Y2","yahara",3877.8,1572.45
"39",197,"CFL1","pheasant",791.575,1272.65
"40",197,"CFL2","pheasant",881.51,1360.2
"41",197,"PB0","pheasant",2492.65,389.245
"42",197,"PB1","pheasant",2601.2,482.2
"43",197,"PB2","pheasant",2133.25,967.56
"44",201,"S0","yahara",2537.9,356.6
"45",203,"G1","yahara",1461.7,1596.95
"46",203,"G2","yahara",1433.6,1907.7
"47",203,"Y0","yahara",985.73,227.455
"48",203,"Y1","yahara",18768.5,5777.15
"49",203,"Y2","yahara",3664.05,3760.6
"50",208,"CFL1","pheasant",1500.75,1687.05
"51",208,"CFL2","pheasant",928.635,1271.55
"52",208,"PB0","pheasant",1573.1,337.08
"53",208,"PB1","pheasant",3446.5,841.58
"54",208,"PB2","pheasant",5647.45,1455.75
"55",215,"G1","yahara",2333.65,2101.45
"56",215,"G2","yahara",2191.4,2192.65
"57",215,"S0","yahara",15686,2034.05
"58",215,"Y0","yahara",1473.6,366.905
"59",215,"Y1","yahara",14225,6329.95
"60",215,"Y2","yahara",10947,4202.25
"61",223,"CFL1","pheasant",1323.65,2283.45
"62",223,"CFL2","pheasant",1287,2136.6
"63",223,"PB0","pheasant",2173.75,767.8
"64",223,"PB1","pheasant",4344.7,1929.7
"65",223,"PB2","pheasant",5386.15,4505.25
"66",229,"G1","yahara",1848.7,2773.05
"67",229,"G2","yahara",1463.1,2165.7
"68",229,"S0","yahara",14038,1511.4
"69",229,"Y0","yahara",1705.85,519.105
"70",229,"Y1","yahara",13525.5,5775.75
"71",229,"Y2","yahara",13701.5,5994.4
"72",237,"CFL1","pheasant",1476.95,1841.35
"73",237,"CFL2","pheasant",1820.1,1848.1
"74",237,"PB0","pheasant",4544.6,2939.15
"75",237,"PB1","pheasant",8221.05,3314.9
"76",237,"PB2","pheasant",8263.75,4570.85
"77",243,"G1","yahara",2120.85,2142.6
"78",243,"G2","yahara",1848.2,1811.2
"79",243,"S0","yahara",2803,316.84
"80",243,"Y0","yahara",1365.1,268.245
"81",243,"Y1","yahara",12255,6663.8
"82",243,"Y2","yahara",7590.9,5098.05
"83",257,"G1","yahara",1596.9,2527.55
"84",257,"G2","yahara",1879.65,2712.8
"85",257,"S0","yahara",1133.7,168.175
"86",257,"Y0","yahara",700.12,174.055
"87",257,"Y1","yahara",5634.6,3809.8
"88",270,"G1","yahara",1542.15,2495.85
"89",270,"G2","yahara",1665.85,2919.6
"90",270,"S0","yahara",616.385,131.32
"91",270,"Y0","yahara",1054.015,295.57
"92",270,"Y1","yahara",4201,2362.55
