"","site","doy","filter_mass","volume_filtered","dry_mass","ashed_mass","tss","vss","iss"
"1","CFL1",152,0.1188,300,0.1227,0.1204,13,7.6666666666667,5.3333333333333
"2","CFL1",166,0.1178,300,0.1199,0.1179,7.00000000000002,6.66666666666667,0.333333333333343
"3","CFL1",183,0.1202,200,0.1213,0.1201,5.50000000000002,6.00000000000003,-0.500000000000014
"4","CFL1",197,0.1196,300,0.1209,0.1195,4.33333333333332,4.66666666666666,-0.333333333333343
"5","CFL1",208,0.1196,300,0.122,0.1197,8,7.66666666666666,0.333333333333343
"6","CFL1",223,0.1186,300,0.1202,0.1187,5.33333333333335,5,0.333333333333343
"7","CFL2",166,0.118,300,0.1194,0.1181,4.66666666666671,4.33333333333337,0.333333333333343
"8","CFL2",183,0.1197,200,0.1208,0.1197,5.50000000000002,5.50000000000002,0
"9","CFL2",197,0.1168,300,0.118,0.1166,3.99999999999998,4.66666666666666,-0.666666666666686
"10","CFL2",208,0.1187,300,0.1202,0.1186,5,5.33333333333335,-0.333333333333343
"11","CFL2",223,0.118,300,0.1196,0.118,5.33333333333335,5.33333333333335,0
"12","G1",150,0.1177,400,0.118,0.1178,0.749999999999987,0.49999999999998,0.250000000000007
"13","G1",159,0.1185,300,0.1202,0.1186,5.66666666666669,5.33333333333335,0.333333333333343
"14","G1",173,0.118,300,0.1185,0.1179,1.66666666666667,1.99999999999996,-0.333333333333297
"15","G1",187,0.1178,300,0.1189,0.1178,3.66666666666668,3.66666666666668,0
"16","G1",203,0.1174,300,0.1192,0.1179,5.99999999999999,4.33333333333332,1.66666666666667
"17","G1",215,0.1177,200,0.1196,0.1175,9.49999999999999,10.5,-1.00000000000003
"18","G1",229,0.1185,300,0.1225,0.1204,13.3333333333333,7.00000000000002,6.33333333333333
"19","G2",150,0.1175,400,0.118,0.1174,1.25,1.49999999999997,-0.249999999999972
"20","G2",159,0.1199,300,0.1214,0.1202,4.99999999999996,3.99999999999998,0.999999999999982
"21","G2",173,0.1183,300,0.1187,0.118,1.33333333333333,2.33333333333335,-1.00000000000003
"22","G2",187,0.1185,300,0.1199,0.1183,4.66666666666671,5.33333333333335,-0.66666666666664
"23","G2",203,0.1176,300,0.1213,0.1193,12.3333333333334,6.66666666666667,5.66666666666669
"24","G2",215,0.1157,200,0.1174,0.1157,8.50000000000004,8.50000000000004,0
"25","G2",229,0.12,300,0.1216,0.1189,5.33333333333335,8.99999999999998,-3.66666666666663
"26","PB0",152,0.1187,300,0.1317,0.1314,43.3333333333334,1.00000000000008,42.3333333333333
"27","PB0",166,0.1169,300,0.1178,0.117,2.99999999999999,2.66666666666665,0.333333333333343
"28","PB0",183,0.1175,300,0.1182,0.1176,2.33333333333335,2.00000000000001,0.333333333333343
"29","PB0",197,0.1193,300,0.121,0.1197,5.66666666666664,4.33333333333332,1.33333333333333
"30","PB0",208,0.1178,300,0.1184,0.1176,2.00000000000001,2.6666666666667,-0.666666666666686
"31","PB0",223,0.1205,300,0.1221,0.1208,5.33333333333335,4.33333333333332,1.00000000000003
"32","PB1",152,0.1188,300,0.1231,0.1207,14.3333333333333,8,6.33333333333333
"33","PB1",166,0.1165,300,0.1174,0.1167,2.99999999999999,2.33333333333335,0.66666666666664
"34","PB1",183,0.1189,200,0.1205,0.1195,7.99999999999995,5,2.99999999999995
"35","PB1",197,0.1168,300,0.119,0.1175,7.33333333333331,5,2.33333333333331
"36","PB1",208,0.117,300,0.119,0.1178,6.66666666666663,3.99999999999998,2.66666666666665
"37","PB1",223,0.1172,300,0.1194,0.1174,7.33333333333336,6.66666666666667,0.666666666666686
"38","PB2",152,0.116,300,0.1232,0.121,24,7.33333333333336,16.6666666666666
"39","PB2",166,0.1153,300,0.116,0.1153,2.33333333333335,2.33333333333335,0
"40","PB2",183,0.1176,200,0.1191,0.1177,7.50000000000001,6.99999999999999,0.500000000000014
"41","PB2",197,0.1168,300,0.1178,0.1167,3.33333333333334,3.66666666666668,-0.333333333333343
"42","PB2",208,0.1197,300,0.1214,0.1203,5.66666666666664,3.66666666666663,2.00000000000001
"43","PB2",223,0.1186,300,0.1219,0.1188,11,10.3333333333333,0.666666666666686
"44","S0",146,0.1185,300,0.1239,0.1223,18,5.3333333333333,12.6666666666667
"45","S0",159,0.1184,300,0.1195,0.1189,3.66666666666663,1.99999999999996,1.66666666666667
"46","S0",173,0.118,300,0.1189,0.118,3.00000000000004,3.00000000000004,0
"47","S0",187,0.1191,300,0.1205,0.1197,4.66666666666666,2.66666666666665,2.00000000000001
"48","S0",201,0.1173,300,0.1213,0.1199,13.3333333333333,4.66666666666666,8.66666666666668
"49","S0",215,0.1203,300,0.1239,0.1218,12,6.99999999999997,5
"50","S0",229,0.1196,300,0.1223,0.1204,9.00000000000003,6.33333333333338,2.66666666666665
"51","Y0",146,0.1171,300,0.1186,0.118,5,2.00000000000001,2.99999999999999
"52","Y0",159,0.1193,300,0.12,0.1188,2.33333333333331,3.99999999999998,-1.66666666666667
"53","Y0",173,0.1182,300,0.1188,0.1182,2.00000000000001,2.00000000000001,0
"54","Y0",187,0.1158,300,0.1166,0.1159,2.66666666666665,2.33333333333331,0.333333333333343
"55","Y0",203,0.1156,300,0.1166,0.1161,3.33333333333334,1.66666666666667,1.66666666666667
"56","Y0",215,0.1175,300,0.1183,0.1173,2.6666666666667,3.33333333333334,-0.66666666666664
"57","Y0",229,0.1197,300,0.1197,0.119,0,2.33333333333335,-2.33333333333335
"58","Y1",146,0.1152,300,0.1193,0.1176,13.6666666666667,5.66666666666669,8
"59","Y1",159,0.1202,300,0.123,0.1211,9.33333333333332,6.33333333333333,2.99999999999999
"60","Y1",173,0.1185,300,0.1224,0.12,13,8,5
"61","Y1",187,0.1184,200,0.1226,0.1199,21,13.5,7.50000000000001
"62","Y1",203,0.1175,300,0.1245,0.1202,23.3333333333334,14.3333333333333,9.00000000000003
"63","Y1",215,0.119,300,0.1252,0.1202,20.6666666666667,16.6666666666667,4.00000000000002
"64","Y1",229,0.1195,300,0.124,0.1202,15,12.6666666666667,2.33333333333335
"65","Y2",146,0.1184,300,0.1193,0.1185,2.99999999999999,2.6666666666667,0.333333333333297
"66","Y2",159,0.1154,300,0.1179,0.1159,8.33333333333334,6.66666666666667,1.66666666666667
"67","Y2",173,0.1168,300,0.1178,0.1168,3.33333333333334,3.33333333333334,0
"68","Y2",187,0.1186,200,0.1205,0.1188,9.49999999999999,8.49999999999997,1.00000000000003
"69","Y2",203,0.1185,300,0.1189,0.1165,1.33333333333337,8,-6.66666666666663
"70","Y2",215,0.1184,300,0.1244,0.1198,20,15.3333333333333,4.66666666666666
"71","Y2",229,0.1201,300,0.1251,0.1216,16.6666666666666,11.6666666666666,5
"72","PB0",237,0.1198,300,0.121,0.1195,3.99999999999998,5,-1.00000000000003
"73","PB1",237,0.117,300,0.1206,0.1179,12,8.99999999999998,2.99999999999999
"74","PB2",237,0.119,300,0.1241,0.1199,17,14,3.00000000000004
"75","CFL1",237,0.1173,300,0.119,0.1166,5.66666666666664,8,-2.33333333333335
"76","CFL2",237,0.1199,300,0.1218,0.12,6.33333333333333,6.00000000000003,0.333333333333297
"77","S0",243,0.1187,200,0.1203,0.1195,8.00000000000002,4.00000000000005,3.99999999999998
"78","Y0",243,0.1185,200,0.1197,0.1182,6.00000000000003,7.50000000000001,-1.49999999999997
"79","Y1",243,0.1194,200,0.125,0.1208,28,21,6.99999999999999
"80","Y2",243,0.1174,300,0.1236,0.1191,20.6666666666667,15,5.66666666666664
"81","G1",243,0.1173,200,0.1192,0.1171,9.49999999999999,10.5,-1.00000000000003
"82","G2",243,0.118,200,0.1199,0.1177,9.50000000000006,11,-1.49999999999997
"83","S0",257,0.1196,200,0.121,0.1197,6.99999999999999,6.49999999999998,0.500000000000014
"84","Y0",257,0.1185,200,0.1194,0.1183,4.50000000000006,5.50000000000002,-0.999999999999959
"85","Y1",257,0.1164,200,0.1196,0.118,16,8.00000000000002,7.99999999999995
"86","G1",257,0.1189,200,0.1204,0.1197,7.49999999999994,3.49999999999996,3.99999999999998
"87","G2",257,0.1185,200,0.1199,0.1189,7.00000000000006,5,2.00000000000006
"88","S0",270,0.1199,300,0.1214,0.1205,4.99999999999996,2.99999999999999,1.99999999999996
"89","Y0",270,0.1191,300,0.12,0.1192,2.99999999999999,2.66666666666665,0.333333333333343
"90","Y1",270,0.1164,300,0.1196,0.1177,10.6666666666666,6.33333333333333,4.33333333333332
"91","G1",270,0.1186,300,0.1207,0.1188,7.00000000000002,6.33333333333333,0.666666666666686
"92","G2",270,0.118,300,0.12,0.1182,6.66666666666667,5.99999999999999,0.666666666666686
