analysis_date,export,GC_batch_id,GC_sample_id,type,date,doy,site,time,sedDepth,waterDepth,rep,CO2_FID,CO2_TCD,CH4_FID,CH4_TCD,N2O_ECD,,,
11/24/2021 10:52,grace_box8.txt,Atmosphere,2-8-I6,Atmosphere,6/29/2021,180,CFL1,,,Atmosphere,,429.8631,495.51814,1.23721,0,0.45828,,,
11/26/2021 16:36,grace_box3.txt,Atmosphere,2-3-A2,Atmosphere,7/27/2021,208,CFL1,,,Atmosphere,,428.62349,461.62955,1.35457,0,0.453,,,
11/26/2021 16:52,grace_box3.txt,Atmosphere,1-3-A3,Atmosphere,8/10/2021,222,CFL1,,,Atmosphere,,396.24966,444.24943,1.00507,0,0.46592,,,
11/26/2021 17:07,grace_box3.txt,Atmosphere,2-3-A4,Atmosphere,8/25/2021,237,CFL1,,,Atmosphere,,405.5862,453.30457,1.13925,0,0.47507,,,
11/27/2021 3:40,grace_box3.txt,Atmosphere,1-3-E4,Atmosphere,7/13/2021,194,CFL2,,,Atmosphere,,431.82119,485.33513,1.26434,0,0.48839,,,
11/24/2021 11:23,grace_box8.txt,Atmosphere,2-8-I8,Atmosphere,7/6/2021,187,G1,,,Atmosphere,,365.30023,433.01362,0.9725,0,0.44855,,,
12/1/2021 11:33,grace_box7.txt,Atmosphere,2-7-D6,Atmosphere,7/20/2021,201,G1,,,Atmosphere,,394.18776,451.82018,1.12339,0,0.47737,,,
12/1/2021 11:49,grace_box7.txt,Atmosphere,2-7-D7,Atmosphere,8/3/2021,215,G1,,,Atmosphere,,330.20386,387.61256,1.043,0,0.47592,,,
12/1/2021 12:05,grace_box7.txt,Atmosphere,2-7-D8,Atmosphere,8/18/2021,230,G1,,,Atmosphere,,352.55524,407.24526,1.19361,0,0.47173,,,
12/1/2021 12:21,grace_box7.txt,Atmosphere,2-7-D9,Atmosphere,8/31/2021,243,G1,,,Atmosphere,,379.40341,437.9719,1.29659,0,0.47684,,,
12/1/2021 12:37,grace_box7.txt,Atmosphere,2-7-D10,Atmosphere,9/13/2021,256,G1,,,Atmosphere,,365.18645,424.37444,0.86179,0,0.47452,,,
12/1/2021 12:53,grace_box7.txt,Atmosphere,2-7-E1,Atmosphere,9/27/2021,270,G1,,,Atmosphere,,429.46074,478.34788,1.1564,0,0.47983,,,
11/25/2021 2:11,grace_box1.txt,Incubation,2-1-F6,Atmosphere,6/29/2021,180,PB0,,,Atmosphere,,414.64263,469.79406,1.08814,0,0.44745,,,
11/25/2021 2:27,grace_box1.txt,Incubation,2-1-F7,Atmosphere,7/13/2021,194,PB0,,,Atmosphere,,530.42341,579.05123,2.60253,0,0.48045,,,
