site,doy,rep,t1_hours,t2_hours,vol_sed,vol_water,inc_temp
S0,146,A,2,20,20,20,21
S0,146,B,2,20,20,20,21
Y0,146,A,2.25,20.25,20,20,21
Y0,146,B,2.25,20.25,20,20,21
Y1,146,A,2.25,20.25,20,20,21
Y1,146,B,2.25,20.25,20,20,21
G1,150,A,2,20,20,20,21
G1,150,B,2,20,20,20,21
G2,150,A,2,20,20,20,21
G2,150,B,2,20,20,20,21
CFL1,152,A,2,24,20,20,16
CFL1,152,B,2,24,20,20,16
PB0,152,A,1.9,24,20,20,16
PB0,152,B,1.9,24,20,20,16
PB1,152,A,2,24,20,20,16
PB1,152,B,2,24,20,20,16
PB2,152,A,2.1,24,20,20,16
PB2,152,B,2.1,24,20,20,16
Y2,159,A,1.9,23.66,20,20,25
Y2,159,B,1.9,23.66,20,20,25
Y1,159,A,2.2,24,20,20,25
Y1,159,B,2.2,24,20,20,25
Y0,159,A,2.15,24,20,20,25
Y0,159,B,2.15,24,20,20,25
S0,159,A,2.05,24.2,20,20,25
S0,159,B,2.05,24.2,20,20,25
G1,159,A,2.2,24.1,20,20,25
G1,159,B,2.2,24.1,20,20,25
G2,159,A,1.9,23.5,20,20,25
G2,159,B,1.9,23.5,20,20,25
PB2,166,A,2.25,24.3,20,30,25
PB2,166,B,2.25,24.3,20,30,25
PB1,166,A,2,24,20,30,25
PB1,166,B,2.3,24.3,20,30,25
PB0,166,A,2.1,24,20,30,25
PB0,166,B,2.4,24.4,20,30,25
CFL1,166,A,2.4,24.4,20,30,25
CFL1,166,B,2,24,20,30,25
CFL2,166,A,2.5,24.4,20,30,25
CFL2,166,B,2.2,24.1,20,30,25
G2,173,A,2.1,24.3,20,30,25
G2,173,B,2.1,24.3,20,30,25
G1,173,A,2,24.3,20,30,25
G1,173,B,2,24.3,20,30,25
Y2,173,A,2,24.4,20,30,25
Y2,173,B,2,24.4,20,30,25
Y1,173,A,2.2,24.7,20,30,25
Y1,173,B,2.2,24.7,20,30,25
Y0,173,A,2.2,24.7,20,30,25
Y0,173,B,2.2,24.7,20,30,25
S0,173,A,2.2,24.7,20,30,25
S0,173,B,2.2,24.7,20,30,25
CFL2,183,A,2.15,24.3,20,20,25
CFL2,183,B,2.15,24.3,20,20,25
CFL1,183,A,2,24,20,20,25
CFL1,183,B,2,24,20,20,25
PB2,183,A,2.2,24.3,20,20,25
PB2,183,B,2.2,24.3,20,20,25
PB1,183,A,2.2,24.3,20,20,25
PB1,183,B,2,24,20,20,25
PB0,183,A,2.2,24.3,20,20,25
PB0,183,B,2.05,24,20,20,25
G1,187,A,2,24.1,20,20,25
G1,187,B,2.05,24.1,20,20,25
Y2,187,A,2,24.1,20,20,25
Y2,187,B,2,24.1,20,20,25
Y1,187,A,2.1,24.4,20,20,25
Y1,187,B,2.1,24.4,20,20,25
Y0,187,A,2.05,24.4,20,20,25
Y0,187,B,2.1,24.4,20,20,25
