group,site,doy,rep,PC,Chl
pheasant,CFL1,152,A,1292.9,599.73
pheasant,CFL1,152,B,523.71,571.19
pheasant,CFL1,166,A,1446.8,693.06
pheasant,CFL1,166,B,1296.4,623.49
pheasant,CFL1,183,A,1424.1,732.06
pheasant,CFL1,183,B,1444.7,683.52
pheasant,CFL1,197,A,1444.7,756.84
pheasant,CFL1,197,B,1100.6,826.31
pheasant,CFL1,208,A,1783.9,1489.8
pheasant,CFL1,208,B,1590.2,1511.7
pheasant,CFL1,223,A,2399.8,1307
pheasant,CFL1,223,B,2167.1,1340.3
pheasant,CFL1,237,A,1652.6,1497.4
pheasant,CFL1,237,B,2030.1,1456.5
pheasant,CFL2,166,A,2083.3,591.2
pheasant,CFL2,166,B,1529.2,818.7
pheasant,CFL2,183,A,2670.2,919.55
pheasant,CFL2,183,B,2100.6,784.49
pheasant,CFL2,197,A,1321.3,821.54
pheasant,CFL2,197,B,1399.1,941.48
pheasant,CFL2,208,A,1059.4,887.25
pheasant,CFL2,208,B,1483.7,970.02
pheasant,CFL2,223,A,2092.6,1229.9
pheasant,CFL2,223,B,2180.6,1344.1
pheasant,CFL2,237,A,1764,1699.2
pheasant,CFL2,237,B,1932.2,1941
yahara,G1,150,A,146.87,461.7
yahara,G1,159,A,2056.4,624.51
yahara,G1,159,B,1314.2,659.72
yahara,G1,173,A,264.67,547.42
yahara,G1,173,B,241.99,520.71
yahara,G1,187,A,916.84,1525
yahara,G1,187,B,1193.5,1452.6
yahara,G1,203,A,1491.6,1434.5
yahara,G1,203,B,1702.3,1488.9
yahara,G1,215,A,2308.3,2283.7
yahara,G1,215,B,1894.6,2383.6
yahara,G1,229,A,2578.6,1838.2
yahara,G1,229,B,2967.5,1859.2
yahara,G1,243,A,2160,2143.7
yahara,G1,243,B,2125.2,2098
yahara,G1,257,A,2688.6,1685
yahara,G1,257,B,2366.5,1508.8
yahara,G1,270,A,2628,1521.2
yahara,G1,270,B,2363.7,1563.1
yahara,G2,150,A,137.66,387.46
yahara,G2,159,A,1414.9,483.64
yahara,G2,159,B,1257.4,518.78
yahara,G2,173,A,238.42,451.42
yahara,G2,173,B,258.28,484.55
yahara,G2,187,A,1501.5,1836.3
yahara,G2,187,B,1897.5,2000.4
yahara,G2,203,A,1725.7,1434.5
yahara,G2,203,B,2089.7,1432.7
yahara,G2,215,A,1823.7,2125.7
yahara,G2,215,B,2561.6,2257.1
yahara,G2,229,A,2228.1,1480.2
yahara,G2,229,B,2103.3,1446
yahara,G2,243,A,1846.3,1878.2
yahara,G2,243,B,1776.1,1818.2
yahara,G2,257,A,2755.4,1880.1
yahara,G2,257,B,2670.2,1879.2
yahara,G2,270,A,2857.5,1663
yahara,G2,270,B,2981.7,1668.7
