site,doy,depth,temp,DO_mgL,DO_sat,SpCond
S0,146,0,21.5,,79.8,0.1
S0,146,0.25,21.5,,79.2,793
S0,146,0.5,21.5,,78.6,794
S0,146,0.75,21.3,,75,793
S0,146,1,21.2,,67.8,802
Y0,146,0,24,,137.4,0.1
Y0,146,0.25,23.8,,139.1,630
Y0,146,0.5,23.8,,140.2,631
Y0,146,0.75,23.8,,137,644
Y1,146,0,23.4,,112.4,0.1
Y1,146,0.25,23.5,,112.5,641
Y1,146,0.5,23.5,,112.7,642
Y1,146,0.75,23.4,,113.8,640
Y1,146,1,23.4,,113.6,642
Y1,146,1.25,23.4,,113.1,641
Y1,146,1.5,23.4,,113.7,640
Y1,146,1.75,23.4,,113.2,641
Y2,146,0,19.7,,127,0.1
Y2,146,0.25,19.5,,129.7,566
Y2,146,0.5,19.4,,130.8,569
Y2,146,0.75,19.4,,132.5,569
Y2,146,1,19.4,,132.2,569
Y2,146,1.25,19.4,,132.6,570
Y2,146,1.5,19.3,,134.2,569
Y2,146,1.75,19.3,,137.1,570
G1,150,0,17.7,12.9,136.2,0.1
G1,150,0.25,17.4,13.22,138.6,554
G1,150,0.5,17.1,16.1,164.2,559
G1,150,0.75,16,17.97,182.6,552
G1,150,1,16,18.83,190.7,549
G2,150,0,20.3,12.21,128.1,0.1
G2,150,0.25,17.9,11.85,125.1,583
G2,150,0.5,17.2,12.38,128.3,562
G2,150,0.75,16.9,13.18,136.3,559
G2,150,1,16.4,16.02,162.6,558
G2,150,1.25,15.9,20.04,203.2,554
G2,150,1.5,15.8,21.28,214.8,544
G2,150,1.6,15.8,23.13,234.4,543
CFL1,152,0,19.9,10.8,117.7,0
CFL1,152,0.25,19.2,10.8,116.9,572
CFL1,152,0.5,18.7,11.41,122.3,576
CFL1,152,0.75,18.5,11.66,125.2,580
CFL1,152,1,17.5,13.8,144.5,593
CFL1,152,1.25,17.8,13.07,137.9,564
CFL1,152,1.4,17.7,13.18,138.9,564
PB0,152,0,17,7,71.7,0.1
PB0,152,0.25,16.5,6.7,69.5,922
PB0,152,0.5,16.3,5.85,59.1,927
PB0,152,0.75,16.1,5.91,59.5,934
PB0,152,1,15.5,5.28,53,938
PB0,152,1.25,15.5,5.36,53.9,939
PB1,152,0,17.3,12.9,134.2,0.1
PB1,152,0.25,18,12.36,133,640
PB1,152,0.5,18,12.7,134.4,656
PB1,152,0.75,17.5,12.64,132.8,688
PB1,152,1,17,15.04,154.5,679
PB1,152,1.5,16.3,14.52,142.2,627
PB2,152,0,17.1,10.85,112.1,0
PB2,152,0.25,16.7,10.81,111.5,564
PB2,152,0.5,16.6,10.99,113.1,567
PB2,152,0.75,16.6,10.86,111.3,567
PB2,152,1,16.5,11.04,113.3,568
G1,159,0,26.2,9.65,119.5,552
G1,159,0.25,25.9,10.45,129.6,554
G1,159,0.5,25.4,11.61,141.8,553
G1,159,0.75,25,14.09,170.1,544
G2,159,0,25.8,11.3,138.7,553
G2,159,0.25,25.6,11.22,138,555
G2,159,0.5,25.5,11.12,136,555
G2,159,0.75,25,10.91,132.6,558
G2,159,1,24.8,10.91,131.2,558
G2,159,1.25,23.7,8.17,96.3,563
G2,159,1.5,23.6,7.89,93.2,566
G2,159,1.75,23.3,6.46,76.1,570
S0,159,0,24.5,6.45,77.4,716
S0,159,0.25,24,3.4,40.2,735
S0,159,0.5,23.8,3.17,37.5,773
S0,159,0.75,23.8,3,3.8,773
Y0,159,0,26.7,8.12,101.3,2.1
Y0,159,0.25,26.7,8.11,101.4,564
Y0,159,0.5,26.6,8.2,102.5,565
Y0,159,0.75,26.6,8.26,103.1,564
Y0,159,1,26.5,8.42,104.6,564
Y1,159,0,26.1,13.04,161.3,541
Y1,159,0.25,26.1,13.02,160.4,542
Y1,159,0.5,26,12.93,159.6,543
Y1,159,0.75,26,12.7,148.2,544
Y1,159,1,25.8,11.86,145.4,545
Y1,159,1.25,25.8,11.64,142.9,545
Y1,159,1.5,25.7,11.46,140.8,545
Y2,159,0,26.2,9.72,120.4,0
Y2,159,0.25,26.2,9.88,122.5,556
Y2,159,0.5,26.1,9.86,122.4,556
Y2,159,0.75,26.1,9.59,118.3,557
Y2,159,1,26,9.1,105.2,560
Y2,159,1.25,25.8,7.57,92.8,563
Y2,159,1.5,25.7,7.07,87.1,566
CFL1,166,0,26.2,11.43,141.9,0
CFL1,166,0.25,26.1,11.47,141.7,560
CFL1,166,0.5,26,11.37,140.3,561
CFL1,166,0.75,26,11.54,142.3,562
CFL1,166,1,25.4,13.16,160.1,561
CFL1,166,1.25,25,13.65,165.7,557
CFL1,166,1.5,24.9,12.66,152.5,559
CFL2,166,0,26,10.86,133.7,9.9
CFL2,166,0.25,26,11.02,135.9,559
CFL2,166,0.5,25.9,11.29,138.8,565
CFL2,166,0.75,25.9,11.35,139.5,565
CFL2,166,1,25.9,11.41,139.5,565
CFL2,166,1.25,25.8,12.08,148.8,566
CFL2,166,1.5,25.4,13.03,162.7,569
CFL2,166,1.75,25.1,14.56,176.7,561
CFL2,166,2,25,14.63,177.9,556
CFL2,166,2.25,24.7,13.56,164.3,557
CFL2,166,2.5,24.5,11.96,150.3,560
CFL2,166,2.75,24.5,10.84,130.3,561
CFL2,166,3,24.4,6.84,88.7,565
PB0,166,0,22.3,6.25,72,978
PB0,166,0.25,21.7,5.31,59.4,984
PB0,166,0.5,21.5,5.02,56.8,986
PB0,166,0.75,21.3,4.94,56,979
PB1,166,0,23.9,14.3,170.5,0.1
PB1,166,0.25,23.9,14.18,168.9,893
PB1,166,0.5,23.9,14.44,171.5,914
PB1,166,0.75,23.8,13.98,165.7,918
PB1,166,1,23.7,13.85,164.2,922
PB1,166,1.25,23.7,14.01,165.1,923
PB2,166,0,24.9,15.4,186.5,0.1
PB2,166,0.25,24.9,15.68,188.7,667
PB2,166,0.5,24.7,17.44,201.4,687
PB2,166,0.75,24.5,16.66,200.6,705
PB2,166,1,24.3,16.42,196.7,692
PB2,166,1.25,24.2,16.4,196.2,680
G1,173,0,23.3,15.98,183.6,488
G1,173,0.25,23.1,15.88,186.2,492
G1,173,0.5,23.3,16.6,194,489.8
G1,173,0.75,23,17.25,199.4,486.4
G1,173,1,23.1,16.78,197.4,486.6
G2,173,0,23.3,13.96,165.8,1.4
G2,173,0.25,23.3,14.55,170.9,506
G2,173,0.5,23.4,14.57,171.5,505
G2,173,0.75,23.3,14.85,173.9,505
G2,173,1,23.2,14.98,175.1,508
G2,173,1.25,23.1,15.49,182.2,507
G2,173,1.5,23,16.37,191.2,503
S0,173,0,17.7,7.14,70.3,0.1
S0,173,0.25,17.7,6.56,69,709
S0,173,0.5,17.7,6.05,63.3,708
S0,173,0.75,17.6,5.97,62.6,708
S0,173,1,17.6,5.97,62.7,710
Y0,173,0,21.7,11.15,127.1,515
Y0,173,0.25,21.8,11.14,126.5,514
Y0,173,0.5,21.8,11.1,126.7,515
Y0,173,0.75,21.6,10.7,122.2,515
Y0,173,1,21.7,10.98,125.5,514
Y1,173,0,22.1,8.89,101.8,43
Y1,173,0.25,22.2,8.76,100.7,555
Y1,173,0.5,22.2,8.74,100.4,555
Y1,173,0.75,22.2,8.64,99.2,555
Y1,173,1,22.2,8.65,99.9,555
Y1,173,1.25,22.2,8.66,99.6,555
Y1,173,1.5,22.2,8.05,96,555
Y1,173,1.75,22.2,8.09,93.1,554
Y2,173,0,21.7,9.75,111.5,0.1
Y2,173,0.25,21.8,9.9,113,523
Y2,173,0.5,21.8,9.98,114.2,545
Y2,173,0.75,21.8,10.03,114.5,544
Y2,173,1,21.7,9.62,110.2,546
Y2,173,1.25,21.7,9.53,107.6,548
CFL1,183,0,24.6,11.89,143.6,4
CFL1,183,0.25,24.6,12.08,145.6,532
CFL1,183,0.5,24.5,11.84,142,535
CFL1,183,0.75,24.5,11.71,140.5,535
CFL1,183,1,24.3,11.48,107.1,536
CFL1,183,1.25,24.3,11.39,106.3,538
CFL1,183,1.5,24.2,11.43,107.6,538
CFL1,183,1.75,24,11.29,106.6,537
CFL2,183,0,24.9,11.76,142.6,1.9
CFL2,183,0.25,24.9,11.93,144.5,535
CFL2,183,0.5,24.8,12,145.1,534
CFL2,183,0.75,24.8,12.06,145.6,534
CFL2,183,1,24.7,12.08,145.6,535
CFL2,183,1.25,24.7,12.07,145.4,535
CFL2,183,1.5,24.6,11.78,140.9,536
CFL2,183,1.75,24.4,11.63,138.9,537
CFL2,183,2,24.2,11.52,137.1,537
CFL2,183,2.25,24.1,9.78,116.8,537
PB0,183,0,20.8,4.97,54.6,0.1
PB0,183,0.25,20.7,4.64,51.2,799
PB0,183,0.5,20.6,4.47,49.8,790
PB0,183,0.75,20.6,4.43,49.4,790
PB0,183,1,20.6,4.39,48.9,792
PB1,183,0,23.4,6.14,70.2,2.1
PB1,183,0.25,23.6,5.62,66.3,748
PB1,183,0.5,23.8,5.6,66.7,747
PB1,183,0.75,23.8,5.65,67.1,748
PB1,183,1,23.7,5.35,64,748
PB1,183,1.25,23.6,5.03,60,747
PB1,183,1.5,23.6,4.98,58.6,750
PB2,183,0,23.8,10.54,124.7,663
PB2,183,0.25,23.8,10.51,124.6,663
PB2,183,0.5,23.8,10.52,125,665
PB2,183,0.75,23.7,12,140.6,669
PB2,183,1,23.5,11.76,138.9,675
PB2,183,1.25,23.4,8.31,98.2,678
