site,doy,sedDepth,vial_mass,ch4_sedvol,sed_vol,wet_mass,dry_mass,transfertin_mass,rewet_dry_mass,ashed_mass,notes
S0,146,1,0.2584,3,3,,1.0963,0.932,1.7867,1.6299,"didn't take wet mass first week, calc from rewet tin"
S0,146,5,0.2678,3,3,,0.8921,0.9326,1.5722,1.4284,"didn't take wet mass first week, calc from rewet tin"
S0,146,10,0.2607,3,3,,1.1516,0.9354,1.84,1.676,"didn't take wet mass first week, calc from rewet tin"
S0,146,15,0.2505,3,3,,1.276,0.9392,1.9808,1.769,"didn't take wet mass first week, calc from rewet tin"
S0,146,20,0.241,3,3,,1.2092,0.9299,1.9096,1.7444,"didn't take wet mass first week, calc from rewet tin"
Y0,146,1,0.2436,3,3,,0.8763,0.936,1.5666,1.3961,"didn't take wet mass first week, calc from rewet tin"
Y0,146,5,0.2471,3,3,,0.7129,0.936,1.4046,1.2923,"didn't take wet mass first week, calc from rewet tin"
Y0,146,10,0.289,3,3,,0.8758,0.9322,1.5258,1.3854,"didn't take wet mass first week, calc from rewet tin"
Y0,146,15,0.2694,3,3,,0.6131,0.9291,1.2841,1.15,"didn't take wet mass first week, calc from rewet tin"
Y0,146,20,0.2575,3,3,,1.0668,0.9321,1.7483,1.5235,"didn't take wet mass first week, calc from rewet tin"
Y1,146,1,0.2525,3,3,,1.0676,0.932,1.7517,1.6147,"didn't take wet mass first week, calc from rewet tin"
Y1,146,5,0.2993,3,3,,1.1755,0.9325,1.8172,1.6663,"didn't take wet mass first week, calc from rewet tin"
Y1,146,15,0.2438,1.5,3,,0.8835,0.9329,1.5846,1.3839,"didn't take wet mass first week, calc from rewet tin"
Y1,146,20,0.2299,2,3,,1.3697,0.9337,2.0811,1.9295,"didn't take wet mass first week, calc from rewet tin"
G1,150,1,0.234,3,3,5.4079,4.47,0.9374,5.1664,5.1083,
G1,150,5,0.2696,3,3,5.4135,4.52,0.9351,5.1687,5.1321,
G1,150,10,0.2243,3,3,5.5536,4.58,0.9316,5.2793,5.2378,
G2,150,1,0.2733,3,3,5.7287,4.62,0.9351,5.2792,5.2241,
G2,150,5,0.2932,3,3,5.6711,4.51,0.9322,5.1455,5.0782,
G2,150,10,0.3483,3,3,4.8938,3.75,0.9367,4.3287,4.2994,
