site,DOY,filter_mass,volume_filtered,dry_mass,ashed_mass
CFL1,152,0.1188,300,0.1327,0.1304
CFL1,166,0.1178,300,0.1199,0.1179
CFL1,183,0.1202,200,0.1213,0.1201
CFL1,197,0.1196,300,0.1209,0.1195
CFL1,208,0.1196,300,0.122,0.1197
CFL1,223,0.1186,300,0.1202,0.1187
CFL2,166,0.118,300,0.1194,0.1181
CFL2,183,0.1197,200,0.1208,0.1197
CFL2,197,0.1168,300,0.118,0.1166
CFL2,208,0.1187,300,0.1202,0.1186
CFL2,223,0.118,300,0.1196,0.118
G1,150,0.1177,400,0.118,0.1178
G1,159,0.1185,300,0.1202,0.1186
G1,173,0.118,300,0.1185,0.1179
G1,187,0.1178,300,0.1189,0.1178
G1,203,0.1174,300,0.1192,0.1179
G1,215,0.1177,200,0.1196,0.1175
G1,229,0.1185,300,0.1225,0.1204
G2,150,0.1175,400,0.118,0.1174
G2,159,0.1199,300,0.1214,0.1202
G2,173,0.1183,300,0.1187,0.118
G2,187,0.1185,300,0.1199,0.1183
G2,203,0.1176,300,0.1213,0.1193
G2,215,0.1157,200,0.1174,0.1157
G2,229,0.12,300,0.1216,0.1189
PB0,152,0.1187,300,0.1317,0.1314
PB0,166,0.1169,300,0.1178,0.117
PB0,183,0.1175,300,0.1182,0.1176
PB0,197,0.1193,300,0.121,0.1197
PB0,208,0.1178,300,0.1184,0.1176
PB0,223,0.1205,300,0.1221,0.1208
PB1,152,0.1188,300,0.1331,0.1307
PB1,166,0.1165,300,0.1174,0.1167
PB1,183,0.1189,200,0.1205,0.1195
PB1,197,0.1168,300,0.119,0.1175
PB1,208,0.117,300,0.119,0.1178
PB1,223,0.1172,300,0.1194,0.1174
PB2,152,0.116,300,0.1332,0.131
PB2,166,0.1153,300,0.116,0.1153
PB2,183,0.1176,200,0.1191,0.1177
PB2,197,0.1168,300,0.1178,0.1167
PB2,208,0.1197,300,0.1214,0.1203
PB2,223,0.1186,300,0.1219,0.1188
S0,146,0.1185,300,0.1239,0.1223
S0,159,0.1184,300,0.1195,0.1189
S0,173,0.118,300,0.1189,0.118
S0,187,0.1191,300,0.1205,0.1197
S0,201,0.1173,300,0.1213,0.1199
S0,215,0.1203,300,0.1239,0.1218
S0,229,0.1196,300,0.1223,0.1204
Y0,146,0.1171,300,0.1186,0.118
Y0,159,0.1193,300,0.12,0.1188
Y0,173,0.1182,300,0.1188,0.1182
Y0,187,0.1158,300,0.1166,0.1159
Y0,203,0.1156,300,0.1166,0.1161
Y0,215,0.1175,300,0.1183,0.1173
Y0,229,0.1197,300,0.1197,0.119
Y1,146,0.1152,300,0.1193,0.1176
Y1,159,0.1202,300,0.123,0.1211
Y1,173,0.1185,300,0.1224,0.12
Y1,187,0.1184,200,0.1226,0.1199
Y1,203,0.1175,300,0.1245,0.1202
Y1,215,0.119,300,0.1252,0.1202
Y1,229,0.1195,300,0.124,0.1202
Y2,146,0.1184,300,0.1193,0.1185
Y2,159,0.1154,300,0.1179,0.1159
Y2,173,0.1168,300,0.1178,0.1168
Y2,187,0.1186,200,0.1205,0.1188
Y2,203,0.1185,300,0.1189,0.1165
Y2,215,0.1184,300,0.1244,0.1198
Y2,229,0.1201,300,0.1251,0.1216
PB0,237,0.1198,300,0.121,0.1195
PB1,237,0.117,300,0.1206,0.1179
PB2,237,0.119,300,0.1241,0.1199
CFL1,237,0.1173,300,0.119,0.1166
CFL2,237,0.1199,300,0.1218,0.12
S0,243,0.1187,200,0.1203,0.1195
Y0,243,0.1185,200,0.1197,0.1182
Y1,243,0.1194,200,0.125,0.1208
Y2,243,0.1174,300,0.1236,0.1191
G1,243,0.1173,200,0.1192,0.1171
G2,243,0.118,200,0.1199,0.1177
S0,257,0.1196,200,0.121,0.1197
Y0,257,0.1185,200,0.1194,0.1183
Y1,257,0.1164,200,0.1196,0.118
G1,257,0.1189,200,0.1204,0.1197
G2,257,0.1185,200,0.1199,0.1189
S0,270,0.1199,300,0.1214,0.1205
Y0,270,0.1191,300,0.12,0.1192
Y1,270,0.1164,300,0.1196,0.1177
G1,270,0.1186,300,0.1207,0.1188
G2,270,0.118,300,0.12,0.1182
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
